  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28
1661,103050,28,1.30E-03,9.51E-03,0.1279,0.2103,0.1553,0.1008,0.3529,0.2525,0.166,0.1895,0.122,8.03E-02,2.806,3.755,3.471,1.846,0.778,5.064,4.626,2.481,1.012,4.305,2.271,0.9753,1.227,0.5047,0.2405,0.2415
1662,103100,28,1.44E-04,7.38E-03,0.201,0.3295,0.2423,0.1647,0.547,0.3943,0.2707,0.2932,0.198,0.1359,1.397,1.914,1.721,0.9073,0.3371,2.65,2.346,1.247,0.4403,2.126,1.113,0.4223,0.5951,0.2182,0.1013,0.2429
1663,103150,28,2.50E-03,1.00E-02,0.1627,0.2464,0.202,0.1372,0.3824,0.3022,0.2095,0.2524,0.1694,0.1169,2.317,3.211,2.822,1.539,0.5469,4.47,3.902,2.138,0.7435,3.443,1.871,0.6721,1.027,0.3615,0.1447,0.2398
1664,103200,28,6.93E-05,8.82E-03,7.11E-02,0.1118,8.71E-02,5.95E-02,0.1875,0.132,9.52E-02,0.1086,7.18E-02,5.09E-02,1.752,2.417,2.142,1.159,0.4344,3.365,2.938,1.614,0.5811,2.63,1.407,0.5411,0.7776,0.2801,0.1224,0.2414
1665,103250,28,9.08E-05,6.51E-03,0.1127,0.1836,0.136,9.34E-02,0.3048,0.2191,0.1531,0.1652,0.1118,7.86E-02,1.079,1.489,1.313,0.7303,0.3018,2.096,1.791,1.024,0.3869,1.611,0.8775,0.3821,0.505,0.1952,0.112,0.241
1666,103300,28,1.01E-04,9.35E-03,0.1982,0.3318,0.236,0.1637,0.5608,0.393,0.2753,0.282,0.1941,0.1363,0.7536,1.061,0.9047,0.5207,0.1989,1.537,1.25,0.7512,0.2518,1.1,0.6133,0.2535,0.3708,0.1272,7.45E-02,0.2437
1667,103350,28,1.98E-04,7.26E-03,0.1964,0.332,0.2353,0.1544,0.5637,0.3968,0.2612,0.2823,0.1847,0.1223,1.024,1.417,1.248,0.6867,0.2685,1.989,1.706,0.9695,0.3553,1.536,0.8201,0.338,0.478,0.1703,8.29E-02,0.2397
1668,103400,28,7.76E-05,9.22E-03,0.2311,0.3939,0.274,0.1868,0.673,0.4666,0.3183,0.3251,0.2214,0.1514,1.199,1.686,1.447,0.814,0.3012,2.389,2.021,1.158,0.4154,1.758,0.9699,0.3685,0.5675,0.201,8.47E-02,0.2403
1669,103450,28,2.51E-05,1.01E-02,0.2365,0.4057,0.2793,0.1918,0.6975,0.4787,0.329,0.3301,0.2265,0.156,1.096,1.465,1.363,0.7139,0.321,1.993,1.8,0.9722,0.41,1.708,0.8741,0.4094,0.4789,0.2021,0.1128,0.2389
1670,103500,28,1.49E-05,9.02E-03,0.3392,0.584,0.4003,0.2739,1.007,0.6883,0.4719,0.4727,0.323,0.2216,1.332,1.692,1.711,0.8202,0.459,2.181,2.157,1.054,0.5639,2.21,1.044,0.5983,0.5167,0.2789,0.1785,0.2444
1671,103550,28,1.93E-04,6.23E-03,0.2924,0.509,0.3429,0.2366,0.8885,0.596,0.4121,0.4024,0.2772,0.1917,1.492,1.922,1.938,0.8747,0.492,2.538,2.465,1.149,0.5896,2.536,1.121,0.6594,0.5278,0.2779,0.2055,0.2411
1672,103600,28,6.28E-04,7.87E-03,0.3367,0.5821,0.3962,0.2725,1.009,0.684,0.4714,0.4667,0.3204,0.2209,1.052,1.413,1.321,0.6551,0.2756,1.94,1.754,0.8957,0.343,1.673,0.8116,0.3603,0.4199,0.1649,0.1076,0.2419
1673,103650,28,5.43E-05,8.48E-03,0.3173,0.551,0.3727,0.2567,0.9595,0.6461,0.4456,0.438,0.3014,0.2081,2.156,2.807,2.767,1.288,0.6167,3.675,3.593,1.684,0.7875,3.559,1.646,0.8025,0.7783,0.3615,0.2051,0.245
1674,103700,28,8.57E-05,6.68E-03,0.3886,0.6637,0.46,0.3152,1.138,0.7842,0.5383,0.545,0.3729,0.2561,2.616,3.499,3.273,1.646,0.646,4.695,4.372,2.208,0.8518,4.104,2.052,0.8191,1.045,0.3989,0.1866,0.2415
1675,103750,28,9.07E-04,7.02E-03,0.4422,0.7565,0.523,0.3587,1.297,0.8935,0.6141,0.6191,0.4239,0.2918,1.677,2.192,2.146,1.02,0.5358,2.885,2.795,1.341,0.6789,2.755,1.298,0.6999,0.6287,0.3169,0.2052,0.2413
1676,103800,28,8.14E-04,7.04E-03,0.3647,0.6256,0.4299,0.2986,1.075,0.7366,0.5122,0.5071,0.3517,0.245,1.226,1.57,1.577,0.7476,0.4104,2.025,2.012,0.9614,0.506,2.037,0.9538,0.5398,0.4651,0.2435,0.1691,0.2407
1677,103850,28,2.45E-04,7.76E-03,0.5077,0.87,0.6005,0.4103,1.493,1.028,0.7032,0.7105,0.485,0.332,1.284,1.745,1.604,0.7946,0.265,2.38,2.174,1.081,0.3448,2.008,0.9867,0.338,0.4998,0.163,8.19E-02,0.2403
1678,103900,28,3.51E-04,6.92E-03,0.5364,0.9114,0.6356,0.4381,1.551,1.079,0.7448,0.7536,0.5187,0.3586,1.08,1.435,1.391,0.6229,0.2754,1.921,1.842,0.8275,0.3432,1.799,0.7945,0.3643,0.371,0.1581,0.1081,0.2443
1679,103950,28,3.61E-04,6.94E-03,0.4129,0.6987,0.4907,0.3358,1.185,0.8294,0.569,0.5838,0.3985,0.2739,0.945,1.209,1.22,0.5719,0.3271,1.565,1.546,0.7442,0.3895,1.593,0.7181,0.4497,0.3686,0.1741,0.166,0.2405
1680,104000,28,1.48E-04,8.79E-03,0.3568,0.5991,0.4257,0.2899,1.01,0.7133,0.4881,0.5088,0.3452,0.2367,1.39,1.796,1.736,0.9215,0.4503,2.342,2.225,1.203,0.5482,2.185,1.133,0.5893,0.6298,0.2765,0.1996,0.2423
1681,104050,28,1.48E-05,7.39E-03,0.5209,0.8701,0.6242,0.42,1.456,1.042,0.702,0.7485,0.503,0.3396,2.206,2.891,2.783,1.398,0.681,3.809,3.631,1.843,0.8616,3.528,1.746,0.8836,0.9056,0.4118,0.2567,0.242
1682,104100,28,1.35E-04,6.68E-03,0.4241,0.7081,0.5073,0.3454,1.185,0.8457,0.5777,0.6076,0.4124,0.2826,1.717,2.28,2.181,1.051,0.5083,3.046,2.884,1.404,0.6518,2.787,1.314,0.6653,0.6688,0.2946,0.1871,0.2405
1683,104150,28,7.06E-05,9.22E-03,0.3701,0.6071,0.4484,0.2954,0.9992,0.7342,0.485,0.5439,0.3572,0.2377,2.196,2.918,2.782,1.354,0.6484,3.897,3.685,1.808,0.8368,3.539,1.7,0.8407,0.8524,0.3852,0.2321,0.2403
1684,104200,28,5.94E-04,8.77E-03,0.2661,0.43,0.3242,0.2137,0.6975,0.5228,0.3462,0.3959,0.2593,0.174,2.201,2.913,2.763,1.4,0.6429,3.88,3.639,1.865,0.8107,3.484,1.743,0.8369,0.9046,0.3881,0.2596,0.2407
1685,104250,28,6.39E-04,8.27E-03,0.589,0.9588,0.7169,0.4683,1.563,1.166,0.7642,0.8736,0.5677,0.3769,1.69,2.249,2.107,1.088,0.47,3.018,2.786,1.462,0.5899,2.646,1.339,0.617,0.7197,0.2768,0.1906,0.239
1686,104300,28,1.46E-04,7.45E-03,0.6645,1.076,0.816,0.5109,1.745,1.321,0.8282,1.003,0.626,0.3965,0.8826,1.172,1.101,0.5699,0.2521,1.573,1.449,0.7673,0.3085,1.393,0.6894,0.3485,0.3919,0.1295,0.1337,0.2398
1687,104350,28,1.27E-03,8.12E-03,0.7015,1.13,0.8575,0.5592,1.822,1.38,0.9007,1.049,0.6818,0.4509,1.234,1.614,1.536,0.8069,0.3323,2.132,1.993,1.067,0.4024,1.931,0.9844,0.4483,0.549,0.1856,0.1565,0.2399
1688,104400,28,1.89E-04,7.82E-03,0.3569,0.5749,0.4376,0.2803,0.9287,0.704,0.4512,0.5372,0.3425,0.2246,0.9249,1.266,1.11,0.6358,0.1667,1.759,1.5,0.8833,0.1867,1.352,0.744,0.2407,0.4561,8.03E-02,0.1167,0.2416
