"","Age","leg0","leg1","leg2","leg3","leg4","leg5"
"99",3390,0.707106781186547,0.0728226680286891,-0.782184412919077,-0.165874505523787,0.767486979438685,0.257158989241721
"100",3420,0.707106781186547,0.0860631531248143,-0.778858131085153,-0.195572567549305,0.756440581125988,0.301908230080093
"101",3450,0.707106781186547,0.0993036382209397,-0.774977468945574,-0.225040160085421,0.74359926080272,0.345661446769825
"102",3480,0.707106781186547,0.112544123317065,-0.770542426500342,-0.254241826287609,0.728984315872671,0.388271132028998
"103",3510,0.707106781186547,0.12578460841319,-0.765553003749455,-0.283142109311348,0.712620086225886,0.429592233091051
"104",3540,0.707106781186547,0.139025093509315,-0.760009200692915,-0.311705552312113,0.694533954238667,0.469482478973486
"105",3570,0.707106781186547,0.152265578605441,-0.75391101733072,-0.339896698445381,0.674756344773571,0.507802707746588
"106",3600,0.707106781186547,0.165506063701566,-0.747258453662871,-0.367680090866628,0.653320725179411,0.544417193802133
"107",3630,0.707106781186547,0.178746548797691,-0.740051509689368,-0.39502027273133,0.630263605291254,0.579193975122111
"108",3660,0.707106781186547,0.191987033893817,-0.732290185410212,-0.421881787194964,0.605624537430427,0.612005180547426
"109",3690,0.707106781186547,0.205227518989942,-0.723974480825401,-0.448229177413008,0.579446116404508,0.642727357046623
"110",3720,0.707106781186547,0.218468004086067,-0.715104395934936,-0.474026986540935,0.551773979507333,0.671241796984593
"111",3750,0.707106781186547,0.231708489182193,-0.705679930738816,-0.499239757734225,0.522656806518994,0.697434865391292
"112",3780,0.707106781186547,0.244948974278318,-0.695701085237043,-0.523832034148352,0.492146319705837,0.72119832723045
"113",3810,0.707106781186547,0.258189459374443,-0.685167859429616,-0.547768358938793,0.460297283820465,0.742429674668291
"114",3840,0.707106781186547,0.271429944470568,-0.674080253316535,-0.571013275261025,0.427167506101738,0.761032454342238
"115",3870,0.707106781186547,0.284670429566694,-0.6624382668978,-0.593531326270525,0.392817836274768,0.776916594629636
"116",3900,0.707106781186547,0.297910914662819,-0.65024190017341,-0.615287055122767,0.357312166550927,0.78999873291646
"117",3930,0.707106781186547,0.311151399758944,-0.637491153143367,-0.636245004973231,0.320717431627838,0.800202542866029
"118",3960,0.707106781186547,0.324391884855069,-0.624186025807669,-0.65636971897739,0.283103608689386,0.807459061687723
"119",3990,0.707106781186547,0.337632369951195,-0.610326518166318,-0.675625740290723,0.244543717405704,0.811707017405694
"120",4020,0.707106781186547,0.35087285504732,-0.595912630219312,-0.693977612068704,0.205113819933188,0.81289315612758
"121",4050,0.707106781186547,0.364113340143445,-0.580944361966652,-0.711389877466812,0.164893020914485,0.810972569313217
"122",4080,0.707106781186547,0.377353825239571,-0.565421713408339,-0.727827079640522,0.123963467478499,0.80590902104336
"123",4110,0.707106781186547,0.390594310335696,-0.549344684544371,-0.743253761745311,0.0824103492403905,0.797675275288387
"124",4140,0.707106781186547,0.403834795431821,-0.532713275374749,-0.757634466936655,0.0403218983015752,0.78625342317702
"125",4170,0.707106781186547,0.417075280527947,-0.515527485899473,-0.770933738370031,-0.00221061075027662,0.771635210265033
"126",4200,0.707106781186547,0.430315765624072,-0.497787316118543,-0.783116119200915,-0.0450928608412365,0.753822363803972
"127",4230,0.707106781186547,0.443556250720197,-0.479492766031959,-0.794146152584783,-0.0882274924111233,0.732826920009865
"128",4260,0.707106781186547,0.456796735816322,-0.460643835639721,-0.803988381677113,-0.131514103413497,0.708671551331933
"129",4290,0.707106781186547,0.470037220912448,-0.441240524941829,-0.81260734963338,-0.174849249315665,0.681389893721312
"130",4320,0.707106781186547,0.483277706008573,-0.421282833938283,-0.81996759960906,-0.218126443098675,0.651026873899757
"131",4350,0.707106781186547,0.496518191104698,-0.400770762629082,-0.826033674759631,-0.261236155257324,0.617639036628364
"132",4380,0.707106781186547,0.509758676200823,-0.379704311014228,-0.830770118240569,-0.30406581380015,0.581294871976277
"133",4410,0.707106781186547,0.522999161296949,-0.358083479093719,-0.83414147320735,-0.346499804249436,0.542075142589407
"134",4440,0.707106781186547,0.536239646393074,-0.335908266867557,-0.836112282815451,-0.388419469641208,0.500073210959145
"135",4470,0.707106781186547,0.549480131489199,-0.31317867433574,-0.836647090220348,-0.42970311052524,0.455395366691069
"136",4500,0.707106781186547,0.562720616585325,-0.28989470149827,-0.835710438577517,-0.470225984965046,0.408161153773669
"137",4530,0.707106781186547,0.57596110168145,-0.266056348355145,-0.833266871042436,-0.509860308537886,0.35850369784705
"138",4560,0.707106781186547,0.589201586777575,-0.241663614906367,-0.82928093077058,-0.548475254334765,0.306570033471656
"139",4590,0.707106781186547,0.602442071873701,-0.216716501151934,-0.823717160917426,-0.585936952960434,0.252521431396972
"140",4620,0.707106781186547,0.615682556969826,-0.191215007091847,-0.81654010463845,-0.622108492533382,0.196533725830249
"141",4650,0.707106781186547,0.628923042065951,-0.165159132726106,-0.807714305089129,-0.656849918685849,0.138797641705208
"142",4680,0.707106781186547,0.642163527162076,-0.138548878054711,-0.79720430542494,-0.690018234563815,0.0795191219507649
"143",4710,0.707106781186547,0.655404012258202,-0.111384243077662,-0.784974648801358,-0.721467400827008,0.0189196547597305
"144",4740,0.707106781186547,0.668644497354327,-0.0836652277949588,-0.77098987837386,-0.751048335648896,-0.0427633991424624
"145",4770,0.707106781186547,0.681884982450452,-0.0553918322066014,-0.755214537297923,-0.778608914716695,-0.105276479229056
"146",4800,0.707106781186547,0.695125467546577,-0.0265640563125905,-0.737613168729023,-0.803993971231363,-0.168349497903246
"147",4830,0.707106781186547,0.708365952642703,0.00281809988707515,-0.718150315822636,-0.827045295907604,-0.231695513229472
"148",4860,0.707106781186547,0.721606437738828,0.0327546363923942,-0.69679052173424,-0.847601636973863,-0.295010401664703
"149",4890,0.707106781186547,0.734846922834953,0.063245553203368,-0.673498329619309,-0.865498700172334,-0.357972530789725
"150",4920,0.707106781186547,0.748087407931079,0.0942908503199951,-0.648238282633322,-0.880569148758953,-0.42024243204042
"151",4950,0.707106781186547,0.761327893027204,0.125890527742277,-0.620974923931754,-0.892642603503398,-0.481462473439068
"152",4980,0.707106781186547,0.774568378123329,0.158044585470212,-0.591672796670082,-0.901545642689097,-0.541256532325612
"153",5010,0.707106781186547,0.787808863219455,0.190753023503802,-0.560296444003781,-0.907101802113215,-0.599229668088963
